deyim,acıklama
"Kazalağ kazalak","1. Gündoğumunda bahçelerde ötüşen bir soy boz renkli küçük kuş. 2. Beyaz ve sarı tüylü, gagası sarı ve siyah renkli bir cins yaban ördeği."
"Ked","Boy."
"Kefen kasar","Kefen sıkar."
"Kehlan","Küheylan, soylu Arap atı."
"Kehlik","Keklik."
"Keklik sekişli","Keklik yürüyüşlü."
"Keklik seküşli","Keklik sekişli."
"Kelam","Söz, konuşma."
"Kelam-ı kudret","Sözün gücü."
"Keleş","Yiğit, cesur."
"Kelimullah","Tanrı buyruğu, Kur'an."
"Kem","Uğursuz, kötü. Uygunsuz."
"Keman","[kadınlarda] İnce, düzgün kaş."
"Kemarbast","1. Yeni evlenen kızın beline bağlanan kuşak. 2. Hz. Ali'nin oğulları Hz. Hasan ve Hz. Hüseyin ile birlikte on yedi yakınına taktığı söylenen ve kemeri simgeleyen kumaş."
"Kemha","Bir cins ipek kumaş."
"Kemter","Hakir, itibarsız, aciz, zavallı, kul, köle."
"Kend","Kent, şehir."
"Kendir","Kendir bitkisinden yapılma ip, urgan."
"Kerem","Asalet, asillik, soyluluk, cömertlik, el açıklığı, lütuf, bağış."
"Kereyağı","Tereyağı."
"Kergah","Gergef."
"Kergef","Gergef."
"Kesiret","(Kesret) Çokluk, bolluk."
"Keste peste","Aşağılık."
"Kete","Bir tür çörek."
"Kevn-i mekan","Varlık, evren, cihan."
"Kevser","Cennette bir ırmak, sonsuz, soy sop (Hz. Muhammed'e ait). Sofiler kevseri ''irfan'' olarak düşünür."
"Kez","defa, kere."
"Kezel","Kuru yaprak, kuru güz yaprağı."
"Khal","Ben."
"Khına","Kına ağacının kurutulmuş yapraklarından elde edilen, saç ve elleri boyamakta kullanılan toz, kına."
"Khonça","Armağan bohçası."
"Khontkar","Hünkar"
"Kıl ü kal","Dedikodu."
"Kılmak","Etmek, eylemek, yapmak."
"Kır","Kül rengine çalan, beyazla az miktarda siyahın karışmasından oluşan renk, beğenilen bir at rengi."
"Kırab","Tek renk ipek dokuma baş örtüsü."
"Kırağ","Kenar, kıyı. Sahil."
"Kır-ha-kır","Kıyım."
"Kırmızı","Altın."
"Kıya bakmak","Yan bakmak."
"Kıyamet","Kıyamet günü."
"Kızıl","Kızıl, parlak kırmızı renkli."
"Kızınan","Kız ile."
"Kimi","Gibi, benzeri."
"Kiraman katibi","İnsanların iki tarafında bulunup, sevaplarını ve günahlarını yazan meleklerin adı."
"Kirman","İran'da Deştilüt'un güneyinde kurulu şehir. Güneydoğu İran'ın en büyük ticaret kavşağı ve önemli bir dokuma sanayii merkezi."
"Kirman Kuşağı","Kirman'da dokunan bir cins kuşak."
"Kisb ü kar","Kazanç, iş güç."
"Kiş","Satranç oyununda en önemli taş olan Şah'ı isterken söylenen söz."
"Ko","Bırak."
"Kocalanmak","Kocamak, yaşlanmak, ihtiyarlamak."
"Kocalık","Yaşlılık, ihtiyarlık."
"Kocalmak","Kocamak, yaşlanmak, ihtiyarlamak."
"Koç kuzu hurcu","Koç katımı günlerinde çobanlara gönderilen şölen heybesi."
"Koçağ","Koçak, yiğit."
"Koçmak","Kucaklamak."
"Kofu","Evli kadınların başlarına giydikleri üzeri kadifeyle kaplı, altın, gümüş paralarla bezeli tahta başlık. 2. Üstü sargılı, altın, gümüş paralarla bezeli kadın başlığı, fes."
"Kokuşlu","Koku saçan."
"Kolan","At, eşek gimi hayvanların üzerindeki semeri hayvanın üzerinde duracak şekilde bağlamaya yarayan dokuma ip"
"Kolbağ-kolbağ","Bilezik."
"Kolçağ-kolçağ","Kolluk, zırhın kolu saran parçası."
"Koma","Küme, yığın."
"Komalamak","1.Kümelemek, yığmak. 2. Kümelenmek, yığılmak."
"Komalanmak","Kümelenmek, yığılmak."
"Komayor","Koymuyor, bırakmıyor."
"Konağ","Konuk."
"Konuşak","Konuşalım."
"Kor","Kör."
"Koryapalağ","Yarasa."
"Koşa","Çift, iki tane."
"Kovmak","İzlemek, avlamak için izlemek."
"Koy","Yeter ki, bırak, bırakın."
"Koynan","Koynuna."
"Koyunnan","Koyun ile."
"Köç","Göç."
"Köçdü","Göçtü."
"Köçüm","Göçüm, göçeyim."
"Köçüni","Göçünü."
"Köçürim","Göçüreyim."
"Köks","Göğüs. )"
"Kömegi","Sivri çadır biçiminde taş yığını."
"Kömek","Yığın, kalak, küme, doğal taş kümesi."
"Kömergi","Sivri çadır biçiminde taş yığını."
"Könül","Gönül."
"Kör yapalağ - köryapalağ","Puhu kuşu, baykuş."
"Körpe","Yeni yetişmekte olan."
"Körülenmek","Gürlenmek, alazlanmak."
"Köşmek","Göçmek."
"Köynek","Gömlek, göynek."
"Köz","Kor ateş, kor halindeki ateş."
"Kubar","Toz."
"Kuçmak","Kucaklamak."
"Kuçmaya","Kucaklamaya."
"Kudret Honu","Kudret sofrası."
"Kudret lokması","Tevrat'a göre Tanrı'nın Sina çölünde İbraniler'e gökten indirdiği yiyecek."
"Kujmaya","Kucaklamaya."
"Kul Emrah","Ercişli Emrah."
"Kulak Asmak","Dinlememek."
"Kulak urma","Dinleme."
"Kurbanam","Kurbanım."
"Kurtulum","Kurtulayım."
"Kurup","Kurmuş."
"Kutbül aktap","Kutupların kutubu, Hz. Ali, Hacı Bektaş Veli."
"Küçe","Sokak"
"Küffar","Tanrı tanımazlar."
"Küfran","Küfürbaz."
"Kühlan","Küheylan, soylu Arap atı."
"Kühüstan","Dağlık yer, dağı çok olan mevki."
"Külhan","Hamam ocağı, hamamda suyun ısıtıldığı yer."
"Küllivar","Tüm varlık."
"Kümbet","1. Kubbe. 2. Damı kubbe biçiminde olan yapı."
"Kümbet otağ","Kubbeli, süslü büyük çadır."
"Kün","Tanrı'nın evreni yaratırken buyurduğu ''ol'' emri."
"Künç","Köşe, bucak, kuytuluk."
"Kürtük","Donmuş kar birikintisi."
"Küş","Guş, kulak, duymak, işitmek."
"Küşat","Açış, açılış merasimi, açma, fethetme."
"La","Olmaz, olumsuzluk eki."
"Laçın-laçin","Benekli doğan, benekli boz-gök-doğan."
"Lain","Kovulmuş, nefret kazanmış, istenilmeyen."
"Lain ü gümrah","Lanetlenmiş ve yolunu şaşırmış."
"Lal","Dilsiz, söz söylemeyen."
"Lasi","Leş."
"Lat","Arapların İslam öncesi putlarından biri."
"Lat-ı mehatı","Putlar."
"Lavaş","Yufka ekmek."
"Leb","Dudak."
"Leblerinnen","Dudaklarından."
"Lengi","Topallık, aksaklık."
"Lengi har","Topal eşek."
"Lenterani","(sen) beni göremeyeceksin."
"Leşker","Asker"
"Levh","Üstüne yazı yazılan düz taş veya tahta, levha."
"Levh-i mahfuz","Bu ve bundan önceki ayette, şerefli, yüce Kur'an korunmuş levhte bulunduğu bildirilir."
"Levh-i-kalem","Üzerine insan kaderinin, olmuş ve olacakların yazılı olduğuna inanılan Tanrısal levhayı; Levh-i- mahfuzu yazan kalem."
"Leyl","Gece."
"Leyl ü nehar","Gece gündüz."
"Leyla","1. Leyla ile Mecnun hikayesinin kadın kahramanı. 2. Sevgili."
"Leyli Mecnun","Leyla ile Mecnun."
"Leyli vakti","Gece zamanı, gece gezintisi zamanı."
"Leyli-Leyli","1. Hikaye kahramanı Leyla. 2.Sevgili"
"Libas","Giyilecek şey, elbise."
"Lokman Hekim","Efsane kahramanı hekim ve bilge kişi. İslamlık'tan önce yaşadığı kabul edilir. Halk inancında uzun ömrün simgesi ve hekimliğin atası sayılır. Lokman Hekim hikayeleri İran ve Türk Edebiyatı'na Arap Edebiyatı'ndan geçmiştir."
"Mağrib","Mağrip, batı."
"Mah","Ay."
"Mahbup","Sevilen, sevgili."
"Mahı","Balık."
"Mahıtaban","Parlayıcı, parlak ay."
"Mahi","Mahveden."
"Mahi göz","Mahveden göz."
"Mahim","Ay yüzlü sevgilim."
"Mahpara","Mahpare, ay parçası, ay benzeri."
"Mah-pare","Ay parçası gibi olan sevgili."
"Mahraba","Büyük mendil, erkek mendili."
"Mahrama","Mendil."
"Mahzun","Üzgün, üzüntülü."
"Mail","Ehil, meyil."
"Mail olmak","Meyli olmak, ehli olmak."
"Malamat","Ortaya çıkarma, açıklama."
"Malı","Çapı, yağlık, başa sarılan örtü."
"Mamur","Bayındır, bakımlı."
"Man","Bana."
"Mar","Yılan."
"Marağa dügüsi","Marağa pirinci."
"Maral","Dişi geyik."
"Maral bakışan","Dişi geyik gibi bakışına."
"Marifet","Hüner."
"Masiva","Ondan gayrısı (Allah'tan) başka her şey hakkında kullanılan tabirler. Dünya ile ilgili şeyler."
"Maslahat","Uğraş."
"Maş","Baklagillerden yenilebilen bir bitki, taneleri ufak bir tür börülce. 2.Mercimek."
"Maşrık","Doğu yönü."
"Maşuğun","Sevgilini."
"Maşuk","Sevgili."
"Mat","Satranç oyununda uğranılan yenilgi."
"Mat etmek","Satranç oyununda yenmek."
"Mat kılmak","Mat etmek."
"Mavu","Mavi, göl."
"Mayıl olmak","Meyil vermek, sevmek, gönül vermek."
"Mayıl salmak","Meyil salmak, gönül düşünmek, sevdalanmak."
"Mayılam","Meylim var, istekliyim, özlemliyim."
"Mecal","Güçlük, dinçlik, derman, takat."
"Mecnun","Leyla ile Mecnun hikayesinin erkek kahramanı."
"Medet","Yardım çağrısı."
"Mefta","(Meftah) Hazine,"
"Mehhr-i mübüvvet","Peygamber mührü."
"Mehle","Mahalle."
"Mehr-i muhabbet","Muhabbetin şefkati."
"Mehriban","Dost, seven, güler yüzlü, sevecen."
"Meknun","Örtülü, gizli, saklı,"
"Mektep uşağı","Okul çocuğu, öğrenci."
"Melaik","Melekler."
"Melhem","Merhem, acıyı giderecek, iyileştirecek em."
"Melil","Üzgün, üzüntülü."
"Melul","Üzgün, üzüntülü."
"Memat","Ölüm, ahrete göç etmek."
"Memir","Bayındır, mamur."
"Men","Ben."
"Men aref","Kendini bilme, kendini kötülüklerden koruma. Menend: Benzer."
"Menal","Ele geçirilen, sahip olunan varlık; mal, mülk."
"Menem","Benim."
"Menemşe","Menekşe."
"Menevşe","Menekşe."
"Meni","Beni."
"Menim","Benim."
"Menim tekim","Benim gibi."
"Mennen","Benden."
"Mensiz","Bensiz."
"Menzil","1. Yolculukta dinlenmek amacıyla konaklanılan yer, konak, konak yeri. 2. İki konak yeri arasındaki uzaklık."
"Meraga[Maraga]","Batı İran'da, Sahand dağının güney eteğinde Urmiye gölüne yakm şehir."
"Merah","I.Bilmek isteği; 2.Kaygı, tasa. [merak]"
"Merd-i peleng","Erkek kaplan, erkek panter."
"Merduvan","Merdiven."
"Mesgen","Mesken, barmak, yuva."
"Meskenet","Miskinlik, uyuşukluk, bitkinlik, yoksulluk."
"Mesnevi","Her beyti ayrı uyaklı -başlı başına uyaklı- bir Divan Edebiyatı koşuk biçimi. Bu türdeki yapıtların genel adı."
"Mest","Sarhoş, aklı başında olmayan."
"Mest müdam","Heraman, devamlı sarhoş."
"Mestan","Esrik, sevgi esriği, gözleri süzgün."
"Mestur","Sınırlanmış, çizilmiş, yazılmış, örtülü."
"Meşrig","Doğu yönü."
"Meta","Sermaye, satılacak mal,"
"Metederem","Överim."
"Metel","Şaşkın."
"Mevla","Tanrı."
"Mey","İçki."
"Meyil","Meyil vermek, gönül vermek, ilgi yöneltmek, ilgi duymak."
"Meyit (Meyyit)","Ölü."
"Meyli","Gönlü, isteği, dileği."
"Mezat","1. Artırma ile yapılan satış. 2. Artırma ile satış yapılan yer."
"Mezer","Mezar."
"Mezet","Mezat, artırma ile satış yapılan yer."
"Miheng","Altının ayarını anlamaya mahsus bir taş. Ölçü. İyiyi kötüyü ayıran ayar aleti. Bir insanın kıymetini ahlakını anlamaya yarayan vasıta."
"Mihman","Misafir."
"Mihnet","Sıkıntı, çile."
"Mihrap","Sevgilinin kaşları, mihrabın girintili yapısının bir yaya benzetilerek, kutsallığa yönelmiş bir övgü ile sevgilinin kaşlarının anlatılmasında kullanılması."
"Mihr-i muhabbet","Sevgi ve aşk, aşk güneşi."
"Milağ","Elma, armut, ayva hevengi."
"Minasip","Uygun."
"Minekaş ayvan","Alınlığı mavi çinilerle süslü ayvan, balkonlu konak."
"Miner","Biner."
"Mirze","Soylu, saygın kişi, mirza."
"Misk","Güzel kokulu bir madde."
"Misk-ü-amber","Çok güzel koku."
"Mizan","Terazi, ölçü, tartı, akıl, idrak, muhakeme. Mahşerde herkesin amellerini tartmaya mahsus bir adalet ölçüsü olup hakiki mahiyeti ancak ahrette bilinecektir."
"Mor menevşe","Mor menekşe, menekşe."
"More","Trakya ve Rumeli yöresinde erkeklere bir hitap sözcüğü."
"Mori","Trakya ve Rumeli yöresinde kadınlara bir hitap sözcüğü"
"Möhebbet","Muhabbet, sevgi"" aşk, dostluk."
"Mufassal","Netice, sözün kısası,"
"Mugallit","Taklitçi."
"Muhannet","Korkak, soğuk davranışlı, uzak."
"Muhip","Seven, sevgi besleyen."
"Muhkem","Sağlam, metin, sıkı sıkıya kuvvetli, tahkim edilmiş, sağlamlaştırılmış."
"Mukaddem","Zaman ve mekan cihetiyle daha evvel olan."
"Mukadder","Kader , kısmet. tayin olunmuş."
"Mulla","Molla."
"Murtat (Mürted)","Dönek."
"Musahip","Yol kardeşi, birlikte olan, arkadaş."
"Muş","Muş ili."
"Muştu","Sevindiren haber, müjde."
"Muştuluk","Muştucuya verilen armağan, muştuluk, müjdelik."
"Muy","Saç."
"Muzu","Engel."
"Mübah","İşlenmesinde sevap ve günah olmayan şey."
"Müdam","Devam eden, süren, sürekli."
"Müddei","İddia eden. İddiacı. davacı."
"Müheyya","Hazırlanmış olan."
"Müjgan","Kirpikler."
"Mülevves","Kirli, pis, bulaşık, alıkoyulup sonraya bırakılmış veya durdurulmuş olan. Karışık, intizamsız."
"Mülk ü meleküt","Maddi olmayan alemin varlığı, varlık melekler."
"Münaci(müncü)","Kurtaran."
"Münezzeh","Arınmış."
"Münkir","İnkar eden."
"Müptela","Bir şeye tutulmuş, düşkün, aşık."
"Mürayi","Riyakar, iki yüzlü."
"Mürşit","İrşad eden, doğru yolu gösteren, gafletten uyandıran, Peygamber varisi olan kılavuz. Tarikat piri, şeyhi."
"Mürur etmek","Ulaşmak, varmak."
"Müsahip","Yol kardeşliği."
"Müstecap","Hoş görülen, istediği kabul edilen, icabet olunmuş."
"Müşerref","Şereflendirilmiş, şerefli."
"Müşg-ü amber","Misk-ü amber."
"Müşteri","Müşteri yıldızı, Jüpiter. Erendiz."
"Naciler","Kurtulmuşlar, esenlik ve saadete kavuşanlar."
"Naçar","Çaresiz, umarsız."
"Naçaram","Çaresizim, umarsızım."
"Naçarımı","Çaresizliğimi."
"Nadan","Cahil, bilmez, haddini bilmez, kaba, terbiyesiz."
"Nail","Erişme, ulaşma."
"Nail olmak","Erişmek. Kavuşmak, ulaşmak."
"Nakkaş","Süsleme sanatkarı, usta."
"Nale","İnilti."
"Name","Mektup, kitap, mecmua."
"Namert","Mert olmayan, alçak."
"Nan","Ekmek, yiyecek."
"Nar","Ateş, tamu. [Mec.] Meme."
"Nara çalmak","Ateşe atmak."
"Nara salmak","Ateşe atmak."
"Narh","Fiyat."
"Nar-ı hicran","Ayrılık ateşi."
"Nar-ı miran","Zalim, kumandanın belası."
"Narınç","1. Turunç meyvası. 2.Mec.Meme"
"Nasip","Düşerlik, pay."
"Naşi","Hain, kötü kişi."
"Natuvan","Natüvan, güçsüz, argın."
"Natüvan","Güçsüz."
"Nazan","Nazlı."
"Nazar","Bakış."
"Nazen(nazende)","Nazlı, naz edici, naz yapan."
"Nazenin","1. Cilveli, oynak. 2. Çok nazlı yetiştirilmiş."
"Nazeninnen","Nazeninle."
"Nazınnan","Nazından."
"Nazik","İnce, zarif, güzel."
"Nebat","Bitki."
"Necaset","Pislik, murdarlık."
"Nece","Nice, nasıl."
"Nece bir","Nasıl da."
"Nedür","Nedir."
"Ne-düşüpsen","Niçin düştün, niye düştün?"
"Nef","Fayda."
"Nef eylemek","Fayda etmek."
"Nefsi emmare","İnsanın çirkin ve şeytanın teşviklerine itirazssız ve mücadelesiz tabi olması hali."
"Ner","Erkek deve."
"Nerban","Deveci."
"Nerde","Nerde."
"Nerduvan","Merdiven."
"Nergiz","Nergis çiçeği."
"Nerye","Nerye, nereye."
"Nevcivan","Taze, genç, delikanlı."
"Nevruz","Eski bir İran takvimine göre yeni yılın ve ilkbaharın başlangıç günü, 22 Mart."
"Neynerem","Neylerim, istemem."
"Neynin","Neyleyeyim."
"Nezereyıe","Nazarkıl, bak."
"Nigar","Nigar, özel ad."
"Nihan","Gizli, saklı, bulunmayan, görünmeyen, sır."
"Nihan etmek","Gizlemek."
"Nikap","Yüz örtüsü, peçe."
"Nişana","Nişane, belirti, im, kanıt."
"Niyaz","Dilek, istek, dua."
"Niza","Çekişme, kavga."
"Nize","Kargı, mızrak."
"Nöker","Köle, hizmetçi."
"Nuş","İçen, içici, tatlı şerbet gibi içilecek şey, zevk ve sefa."
"Nuş eylemek","Zevk ve sefa etmek."
"Nübüvvet","Peygamberlik, nebi olmak, nebilik, Allah'ın emriyle görevli olarak insanları doğru yola çevirmek."
"Nüsha","Yazılı, yazılmış şey, yazılı bir şeyden çıkarılan suret."
"Od","Ateş."
"Oğramak","Uğramak."
"Oğru","Hırsız, uğursuz."
"Oğrun","Gizli."
"Ohullar","Okurlar."
"Ohumak","Okumak."
"Ohur","Okur."
"Oladım","Olaydım, olsaydım."
"Olam","Olayım."
"Olannar","Olanlar."
"Olar","Olur."
"Olasan","Olasın."
"Olcağ","Olucak, olunca."
"Olcah","Olacak, olunca."
"Ollam","Olurum."
"Olmuşam","Olmuşum."
"Olmuyum","Olmayayım."
"Olum","Olayım."
"Onın","Onun."
"Otağ","Büyük ve süslü çadır."
"Oyanıban","Uyanarak"
"Oyanmak","Uyanmak."
"Oyatmak","Uyandırmak."
"Oymak","Oymalı, bezeli, süslü, kümü küme."
"Oynayıban","Oynayarak"
"Oyunbaz","Oyuncu, aldatıcı."
"Oyunnu","Oyunlu, tutumlu, davranışlı."
"Ögünden","Önünden."
"Öğmek","Övmek."
"Öldi","Öldü."
"Ölke","Ülke."
"Öllem","Ölürüm."
"Ölüm","Öleyim."
"Ölümnen","Ölümden."
"Ölüptür","Ölmüştür."
"Ömür başa varmak","Ömrün sona ermesi, bitmesi."
"Ömür başa yetmek","Ömrün sona ermesi, bitmesi."
"Ömür malı","Ömür varı, tüm yaşam."
"Örük","Saç örgüsü, bir örgü saç."
"Öz","Kendi, zat."
"Öz-elinnen","Kendi elinle"
"Özge","1. Başka 2. Başkası."
"Özge yarnan","Özge yarla, başka sevgiliyle."
"Özgelernen","Özgelerle, başkalarıyla."
"Öz-özüme","Kendi kendime."
"Özüm","Kendim, ben."
"Özüme","Kendime."
"Özün","Kendin, sen."
"Özünü","Kendini, kendisini."
"Paca","Baca."
"Pahıl","Kıskanç."
"Pak","Temiz, saf, katıksız."
"Para","Pare, parça."
"Para para","Parça parça."
"Paralamak","Parçalamak."
"Pare pare","Parça parça, küme küme."
"Parlı","Parlak, ışıldayan, göz kamaştırıcı."
"Pars","Farsça."
"Pay","Parça, düşer."
"Pay pay olmak","Bölünmek, bölüşülmek, paylaşılmak."
"Payam","Peyam, haber."
"Payam vaktı","Konuşma, haber alma zamanı."
"Payız","Sonbahar, güz."
"Peder","Baba, ata."
"Penah","Sığınma, sığınılacak yer , dayandığı nokta."
"Perçem","Alına ve yüze düşürülen saç, kakül."
"Pergar","Çember, koruyucu."
"Peri","Doğaüstü güçleri olduğuna inanılan, düşsel, çok güzel dişi varlık. Perişan: Dağınık, karmakarışık."
"Peri teki","Peri gibi, çok güzel."
"Perrü bal","Kanat."
"Pervan","Pervane, geceleri ışık çevresinde dönen küçük kelebek."
"Pervane","Geceleri ışığın etrafında dönen küçük kelebek, haberci, kılavuz. Peyk: Haber ve mektup getirip götüren."
"Pervaz etmek","Havalanmak, uçmak."
"Perveri","Besili, besiye alınmış, beslenmiş."
"Perveri koç","Besiye alınmış koç, besi koçu."
"Peş-peş","Ard, arka."
"Peyke","Tahta sedir."
"Peymane","Büyük kadeh, şarap bardağı."
"Pısmak","Sinmek, başı omuzlara doğru çekerek korkuyla büzülmek."
"Pısmanam","Pısmam, korkuyla sinmem."
"Pısmanık","Pısmayız, korkuyla sinmeyiz."
"Pısmazık","Pısmayız."
"Pilte","Fitil."
"Pinhan","Gizli, saklı."
"Pir","1. Hak katından aşıklık bağışlanmışlara dolu bade sunan Hızır. 2. Yaşlı, büyük, ihtiyar reis, bir tarikatın kurucusu, tarikatta ulu kişi, herhangi bir meslek ve sanatın kurucusu."
"Pişe","1. Sanat, meslek, iş. 2. Yaradılış, huy."
"Pişvaz","Karşılama."
"Piyale","Şarap bardağı, içki kadehi."
"Piyale vaktı","İçkinin, şarabın sunulma zamanı."
"Piye","Satranç oyununda ön sıraya dizilen taşlardan her biri, piyade."
"Puc","Hiç, boş."
"Pucalmak","Hiç olmak, boşa gitmek, boş çıkmak."
"Puç","Puc, hiç, boş."
"Pul","Para."
"Puş","Örten, giyen, örtü, elbise. zırh."
"Puş eylemek","Örtünmek."
"Puta","Uğruna dolu-bade içilen Tanrı vergisi sevgili, maşuka."
"Pür","Çok, dolu, çok fazla."
"Pür-nur","Çok parlak, çok nurlu."
"Rah","Yol, tarz, usul."
"Rah-ı Halık","Allah yolu."
"Rahim Şah","Emrah ile Selbihan hikayesinin bir Erciş kolunda Selbihan'ın babası"
"Rahm","Acıma, koruma, esirgeme."
"Rahm eylemek","Acımak, esirgemek."
"Rah-nüma","Kılavuz."
"Raz","Gizli sır, sır gibi saklı şey."
"Ref","Kaldırma, yüceltme."
"Reftar","Yürüme, salınma."
"Regib","Rakip, karşıt."
"Rengin almak","Rengini almak, renklenmek."
"Revan","Erivan kenti."
"Reyhan","Fesleğen."
"Rıza","Memnunluk, istek, arzu."
"Rikab","Huzur, makam."
"Rişte","Tel.[ip ucu]"
"Rişte rişte","Tel tel."
"Riya","Özü sözü bir olmamak. İki yüzlülük."
"Ruz u şeb","Gece-gündüz, gece ve gündüz."
"Saba","Gün doğusunda esen hoş ve latif rüzgar."
"Sabbah","Sabah."
"Sadağa","Sadaka."
"Sadr","Her şeyin evveli ve başlangıcının en iyisi, kalp, göğüs, ön."
"Safi","Katışıksız, temiz, süzülmüş."
"Sağ","Sağlam, canlı, diri."
"Sağalmadı","İyileşmedi."
"Sağalmak","İyileşmek."
"Sağalmıştır","İyileşmiştir, iyileşti."
"Sağınnan","Sağndan, sağ yanından."
"Sağolmaz","Sağalmaz, iyileşmez."
"Sahat Çukuru","Çukur Sa'd-Saat Çukuru. Doğusu Erivan, güneyi Iğdır olan çukur bölge. Adını XIV. yüzyılda yaşamış olan Türkistan beyi Sa'ad'dan alır."
"Sail","Kibirli, saldıran."
"Sakı[saki]","İçki sunan."
"Saklıyarlar","Konuk ederler, ağırlarlar."
"Sal","1.Dağ eteği, dağ eteklerindeki geniş düzlükler. 2. Genelde mezar örtüsü olarak kullanılan yassı taş, yassı kum taşı. 3. Sedye."
"Salaca","Hastanın taşındığı sedye, ölünün taşındığı sedye ya da tabut."
"Salak","Salalım, atalım."
"Salatın","Selatin, sultanlar."
"Salıpsan","Düşürdün ki, düşürmüşsün ki."
"Sallana sallana","Salına salına."
"Salmak","1. Dizmek, koymak. 2.Atmak. 3. Ağlatmak. 4.Göndermek, ulaştırmak, vermek. 5.Düşürmek."
"Sanarsın","Sanırsın."
"Sanasan","Sanasın, sanırsın."
"Sapa","1.Gidilen yol üzerinde olmayan, sapılarak varılan. 2.Sarplık."
"Saralar","Sararlar."
"Saralı","Sarılı."
"Saralıban","Sarararak."
"Saralmak","Sararmak."
"Sarayınnan","Sarayından."
"Sarışak","Sarılalım, sarışalım."
"Satılım","Satılayım."
"Savgat","Armağan."
"Say I","Çalışma, emek."
"Say II","Sayı."
"Say III","Kumda bir takım çizgiler çizerek fal bakma, remil."
"Say IV","Seçme, seçkin."
"Say sayılır","Sayılır, hesap edilir."
"Say saymak","1.Saymak, hesaplamak. 2.Kumda bir takım çizgiler çizerek fal bakmak, remil atmak."
"Sayrı","Hasta, esenlik durumu bozulmuş."
"Se","Üç sayısı."
"Seba","Bkz.Saba."
"Sebak","Ders."
"Seb'ül mesan","Yedi kat gökyüzü. Yedi ayetten oluşan Fatiha suresi."
"Sedir","Üstü halı, kilimle örtülü, minderli, yastıklı kerevet, divan."
"Sefa","Gönül şenliği, rahatlık."
"Seferbeylik","Bir ülkeyi savaşa hazırlayacak önlemlerin tümü, seferberlik."
"Sefil Emrah","Ercişli Emrah."
"Sehab","Bulut."
"Seherinen","Seherle, tan ağartısında."
"Sehv","Hata, yanılma."
"Sekiz Cennet","En yüksek gök katında bulunduğuna inanılan cennetin sekiz katı ya da sekiz kapısı."
"Seküş","Sekiş, sekme, sekerek yürüme"
"Selbi[Selbihan-Selbinaz]","Ercişli Emrah'ın sevgilisi, Erciş kalesinin başbuğu Miroğlu'nun kızı."
"Selvağacı","[Selvi ağacı, selvi dalı]: İnce uzun boylu."
"Sema","Gökyüzü."
"Semek","Balık."
"Seninnen","Seninle."
"Sennen","Senden, seninle."
"Sentekin","Senin eşin, senin gibi."
"Ser","Baş, tepe, uç."
"Ser çeşme","Suyun başı."
"Seraser","Baştan başa."
"Serencam","Başa gelen, baştan geçen ibretli hadise."
"Sergerden","Başı dönmüş, şaşkın."
"Sermest eylemek","Serbest eylemek, sarhoş etmek, başını döndürmek."
"Server","Reis, baş."
"Servi hôban","Uzun boylu güzel."
"Serv-i-revan","Uzun boylu sevgili, boyu selviye dönüşmüş, boyu selviyi andıran."
"Settar","Allah'ın sıfatlarından biri. Örten, kapayan, gizleyen."
"Sevdügüm","Sevdiğim, sevgilim."
"Sevecen","İçten seven, koruyarak seven, şefkatli."
"Sevennerin","Sevenlerin."
"Seversez","Severseniz."
"Sevli","Selvi, Selbi."
"Sevmeginen","Sevmekle, sevmek ile."
"Sevülmek","Sevilmek."
"Sevülür","Sevilir."
"Seyrakıp","Rakip, karşıt olan kötü kişi."
"Seyran","Seyran, gezme, gezinti."
"Seyran eylemek","Gezmek, gezinmek."
"Seyrana çıhmak","Gezmeye, gezintiye çıkmak."
"Seyrana düşmek","Gezintiye çıkmak."
"Seyreylemek","Seyretmek."
"Seyreylemiş","Seyretmiş, seyreylemiş."
"Seyrine varmadan","Görmeye gitmeden, görmeye doymadan."
"Seyrine varmak","Görmeye gitmek."
"Seyyah","Gezgin, gezmen."
"Seyyat","Avcı."
"Seza","Layık."
"Sıdk","1. Doğruluk, gerçeklik. 2.İçten bağlılık."
"Sıdk ile","İçtenlikle."
"Sıdkınan","Doğru olarak, içtenlikle."
"Sığamak","Sıvazlamak, okşamak."
"Sındırmak","Kırmak, koparmak."
"Sınık","Kırık."
"Sırat mizan","Doğru yol."
"Sıratü'l-müstakim","Doğru yol."
"Sırdaş","Sır ortağı, sır saklayan."
"Sırma","Gümüş tel, altın yaldızlı gümüş tel."
"Sırr-ı yezdan","Tanrı Sırrı."
"Sırrım","Sırrımı."
"Sızıldanmak","Sızlanmak, yakınmak, sürekli yakınmak."
"Sim","Gümüş, gümüş, tel."
"Sim ü zer","Altın ve gümüş."
"Simizer","Sim ü zer, gümüş ve altın."
"Sin","Çin."
"Sin I","Mezar, gömüt."
"Sin II","1. ''S'' harfinin Arap abecesindeki adı. 2.Arap abecesinin on ikinci, Fars ve Osmanlı abecesinin on beşinci harfi."
"Sina","Sine, göğüs."
"Sine","Göğüs, gönül, yürek."
"Singirlenmek","Gerdanın sineye doğru güzelliğini bozmayacak bir ölçüde inmesi."
"Sipin vahtı","Dua, yakarma zamanı; alatan; tan yerinin ağardığı zaman."
